Location,Male,Female
United States,0.493,0.507
Alabama,0.483,0.517
Alaska,0.517,0.483
Arizona,0.495,0.505
Arkansas,0.491,0.509
California,0.498,0.502
Colorado,0.503,0.497
Connecticut,0.489,0.511
Delaware,0.482,0.518
District of Columbia,0.472,0.528
Florida,0.489,0.511
Georgia,0.482,0.518
Hawaii,0.488,0.512
Idaho,0.502,0.498
Illinois,0.493,0.507
Indiana,0.495,0.505
Iowa,0.501,0.499
Kansas,0.495,0.505
Kentucky,0.491,0.509
Louisiana,0.485,0.515
Maine,0.494,0.506
Maryland,0.484,0.516
Massachusetts,0.49,0.51
Michigan,0.494,0.506
Minnesota,0.502,0.498
Mississippi,0.479,0.521
Missouri,0.491,0.509
Montana,0.504,0.496
Nebraska,0.498,0.502
Nevada,0.5,0.5
New Hampshire,0.498,0.502
New Jersey,0.491,0.509
New Mexico,0.491,0.509
New York,0.488,0.512
North Carolina,0.483,0.517
North Dakota,0.509,0.491
Ohio,0.492,0.508
Oklahoma,0.492,0.508
Oregon,0.499,0.501
Pennsylvania,0.492,0.508
Rhode Island,0.488,0.512
South Carolina,0.482,0.518
South Dakota,0.504,0.496
Tennessee,0.488,0.512
Texas,0.496,0.504
Utah,0.506,0.494
Vermont,0.499,0.501
Virginia,0.489,0.511
Washington,0.502,0.498
West Virginia,0.492,0.508
Wisconsin,0.501,0.499
Wyoming,0.512,0.488
Puerto Rico,0.472,0.528
